specie;sex;birth_time;death_time;age;max_stamina;max_energie;max_health;max_speed;view_dist;scout_pattern;generation;fearful;patient;eater;reproductive;sociable
Cervus elaphus;Male;0;75910;75910;1000.0;2925000;1000.0;1.2;400.0;[0, 0.25, 0.5, 0.75];1;0.5;0.6;1;1;0.5
Cervus elaphus;Femelle;0;86250;86250;1000.0;2925000;1000.0;0.9;400.0;[0, 0.25, 0.5, 0.75];1;0.5;0.6;1;1;0.5
Cervus elaphus;Femelle;0;89280;89280;1000.0;2925000;1000.0;0.9;400.0;[0, 0.25, 0.5, 0.75];1;0.5;0.6;1;1;0.5
Cervus elaphus;Male;0;75900;75900;1000.0;2925000;1000.0;1.2;400.0;[0, 0.25, 0.5, 0.75];1;0.5;0.6;1;1;0.5
Cervus elaphus;Male;0;75930;75930;1000.0;2925000;1000.0;1.2;400.0;[0, 0.25, 0.5, 0.75];1;0.5;0.6;1;1;0.5
Cervus elaphus;Femelle;0;24350;24350;1000.0;2925000;1000.0;0.9;400.0;[0, 0.25, 0.5, 0.75];1;0.5;0.6;1;1;0.5
Cervus elaphus;Femelle;0;89330;89330;1000.0;2925000;1000.0;0.9;400.0;[0, 0.25, 0.5, 0.75];1;0.5;0.6;1;1;0.5
Cervus elaphus;Femelle;0;89310;89310;1000.0;2925000;1000.0;0.9;400.0;[0, 0.25, 0.5, 0.75];1;0.5;0.6;1;1;0.5
Cervus elaphus;Femelle;0;89350;89350;1000.0;2925000;1000.0;0.9;400.0;[0, 0.25, 0.5, 0.75];1;0.5;0.6;1;1;0.5
Cervus elaphus;Femelle;0;89270;89270;1000.0;2925000;1000.0;0.9;400.0;[0, 0.25, 0.5, 0.75];1;0.5;0.6;1;1;0.5
Cervus elaphus;Male;0;75920;75920;1000.0;2925000;1000.0;1.2;400.0;[0, 0.25, 0.5, 0.75];1;0.5;0.6;1;1;0.5
Cervus elaphus;Femelle;0;85700;85700;1000.0;2925000;1000.0;0.9;400.0;[0, 0.25, 0.5, 0.75];1;0.5;0.6;1;1;0.5
Cervus elaphus;Femelle;0;75220;75220;1000.0;2925000;1000.0;0.9;400.0;[0, 0.25, 0.5, 0.75];1;0.5;0.6;1;1;0.5
Cervus elaphus;Femelle;0;89280;89280;1000.0;2925000;1000.0;0.9;400.0;[0, 0.25, 0.5, 0.75];1;0.5;0.6;1;1;0.5
Cervus elaphus;Femelle;0;89250;89250;1000.0;2925000;1000.0;0.9;400.0;[0, 0.25, 0.5, 0.75];1;0.5;0.6;1;1;0.5
Cervus elaphus;Femelle;0;89370;89370;1000.0;2925000;1000.0;0.9;400.0;[0, 0.25, 0.5, 0.75];1;0.5;0.6;1;1;0.5
Cervus elaphus;Femelle;0;89370;89370;1000.0;2925000;1000.0;0.9;400.0;[0, 0.25, 0.5, 0.75];1;0.5;0.6;1;1;0.5
Cervus elaphus;Femelle;0;89280;89280;1000.0;2925000;1000.0;0.9;400.0;[0, 0.25, 0.5, 0.75];1;0.5;0.6;1;1;0.5
Cervus elaphus;Femelle;0;89330;89330;1000.0;2925000;1000.0;0.9;400.0;[0, 0.25, 0.5, 0.75];1;0.5;0.6;1;1;0.5
Cervus elaphus;Male;0;21110;21110;1000.0;2925000;1000.0;1.2;400.0;[0, 0.25, 0.5, 0.75];1;0.5;0.6;1;1;0.5
Cervus elaphus;Femelle;0;89310;89310;1000.0;2925000;1000.0;0.9;400.0;[0, 0.25, 0.5, 0.75];1;0.5;0.6;1;1;0.5
Cervus elaphus;Male;0;75940;75940;1000.0;2925000;1000.0;1.2;400.0;[0, 0.25, 0.5, 0.75];1;0.5;0.6;1;1;0.5
Cervus elaphus;Male;0;75950;75950;1000.0;2925000;1000.0;1.2;400.0;[0, 0.25, 0.5, 0.75];1;0.5;0.6;1;1;0.5
Cervus elaphus;Male;0;75930;75930;1000.0;2925000;1000.0;1.2;400.0;[0, 0.25, 0.5, 0.75];1;0.5;0.6;1;1;0.5
Cervus elaphus;Male;0;63610;63610;1000.0;2925000;1000.0;1.2;400.0;[0, 0.25, 0.5, 0.75];1;0.5;0.6;1;1;0.5
Cervus elaphus;Male;0;75990;75990;1000.0;2925000;1000.0;1.2;400.0;[0, 0.25, 0.5, 0.75];1;0.5;0.6;1;1;0.5
Cervus elaphus;Femelle;0;89340;89340;1000.0;2925000;1000.0;0.9;400.0;[0, 0.25, 0.5, 0.75];1;0.5;0.6;1;1;0.5
Cervus elaphus;Femelle;0;89380;89380;1000.0;2925000;1000.0;0.9;400.0;[0, 0.25, 0.5, 0.75];1;0.5;0.6;1;1;0.5
Cervus elaphus;Male;0;67520;67520;1000.0;2925000;1000.0;1.2;400.0;[0, 0.25, 0.5, 0.75];1;0.5;0.6;1;1;0.5
Cervus elaphus;Male;0;75980;75980;1000.0;2925000;1000.0;1.2;400.0;[0, 0.25, 0.5, 0.75];1;0.5;0.6;1;1;0.5
Cervus elaphus;Male;0;75910;75910;1000.0;2925000;1000.0;1.2;400.0;[0, 0.25, 0.5, 0.75];1;0.5;0.6;1;1;0.5
Cervus elaphus;Male;0;29840;29840;1000.0;2925000;1000.0;1.2;400.0;[0, 0.25, 0.5, 0.75];1;0.5;0.6;1;1;0.5
Cervus elaphus;Male;0;75960;75960;1000.0;2925000;1000.0;1.2;400.0;[0, 0.25, 0.5, 0.75];1;0.5;0.6;1;1;0.5
Cervus elaphus;Femelle;0;89350;89350;1000.0;2925000;1000.0;0.9;400.0;[0, 0.25, 0.5, 0.75];1;0.5;0.6;1;1;0.5
Cervus elaphus;Femelle;0;88500;88500;1000.0;2925000;1000.0;0.9;400.0;[0, 0.25, 0.5, 0.75];1;0.5;0.6;1;1;0.5
Cervus elaphus;Femelle;0;89340;89340;1000.0;2925000;1000.0;0.9;400.0;[0, 0.25, 0.5, 0.75];1;0.5;0.6;1;1;0.5
Cervus elaphus;Male;0;75930;75930;1000.0;2925000;1000.0;1.2;400.0;[0, 0.25, 0.5, 0.75];1;0.5;0.6;1;1;0.5
Cervus elaphus;Femelle;0;89300;89300;1000.0;2925000;1000.0;0.9;400.0;[0, 0.25, 0.5, 0.75];1;0.5;0.6;1;1;0.5
Cervus elaphus;Male;0;75900;75900;1000.0;2925000;1000.0;1.2;400.0;[0, 0.25, 0.5, 0.75];1;0.5;0.6;1;1;0.5
Cervus elaphus;Male;0;75880;75880;1000.0;2925000;1000.0;1.2;400.0;[0, 0.25, 0.5, 0.75];1;0.5;0.6;1;1;0.5
Cervus elaphus;Male;0;76020;76020;1000.0;2925000;1000.0;1.2;400.0;[0, 0.25, 0.5, 0.75];1;0.5;0.6;1;1;0.5
Cervus elaphus;Femelle;0;75030;75030;1000.0;2925000;1000.0;0.9;400.0;[0, 0.25, 0.5, 0.75];1;0.5;0.6;1;1;0.5
Cervus elaphus;Male;0;1850;1850;1000.0;2925000;1000.0;1.2;400.0;[0, 0.25, 0.5, 0.75];1;0.5;0.6;1;1;0.5
Cervus elaphus;Femelle;0;89360;89360;1000.0;2925000;1000.0;0.9;400.0;[0, 0.25, 0.5, 0.75];1;0.5;0.6;1;1;0.5
Cervus elaphus;Male;0;75920;75920;1000.0;2925000;1000.0;1.2;400.0;[0, 0.25, 0.5, 0.75];1;0.5;0.6;1;1;0.5
Cervus elaphus;Femelle;0;89330;89330;1000.0;2925000;1000.0;0.9;400.0;[0, 0.25, 0.5, 0.75];1;0.5;0.6;1;1;0.5
Cervus elaphus;Femelle;0;89320;89320;1000.0;2925000;1000.0;0.9;400.0;[0, 0.25, 0.5, 0.75];1;0.5;0.6;1;1;0.5
Cervus elaphus;Male;0;20980;20980;1000.0;2925000;1000.0;1.2;400.0;[0, 0.25, 0.5, 0.75];1;0.5;0.6;1;1;0.5
Cervus elaphus;Femelle;0;63600;63600;1000.0;2925000;1000.0;0.9;400.0;[0, 0.25, 0.5, 0.75];1;0.5;0.6;1;1;0.5
Cervus elaphus;Male;0;50250;50250;1000.0;2925000;1000.0;1.2;400.0;[0, 0.25, 0.5, 0.75];1;0.5;0.6;1;1;0.5
Meles meles;Femelle;0;58440;58440;700.0;900000;600.0;0.75;270.0;[0, 0.5];1;0.5;0.6;1;1;0.5
Meles meles;Femelle;0;58440;58440;700.0;900000;600.0;0.75;270.0;[0, 0.5];1;0.5;0.6;1;1;0.5
Meles meles;Femelle;0;58520;58520;700.0;900000;600.0;0.75;270.0;[0, 0.5];1;0.5;0.6;1;1;0.5
Meles meles;Femelle;0;25310;25310;700.0;900000;600.0;0.75;270.0;[0, 0.5];1;0.5;0.6;1;1;0.5
Meles meles;Male;0;52030;52030;700.0;900000;600.0;1.05;270.0;[0, 0.5];1;0.5;0.6;1;1;0.5
Meles meles;Male;0;63220;63220;700.0;900000;600.0;1.05;270.0;[0, 0.5];1;0.5;0.6;1;1;0.5
Meles meles;Male;0;52080;52080;700.0;900000;600.0;1.05;270.0;[0, 0.5];1;0.5;0.6;1;1;0.5
Meles meles;Femelle;0;58390;58390;700.0;900000;600.0;0.75;270.0;[0, 0.5];1;0.5;0.6;1;1;0.5
Meles meles;Femelle;0;68680;68680;700.0;900000;600.0;0.75;270.0;[0, 0.5];1;0.5;0.6;1;1;0.5
Meles meles;Femelle;0;70960;70960;700.0;900000;600.0;0.75;270.0;[0, 0.5];1;0.5;0.6;1;1;0.5
Meles meles;Male;0;52040;52040;700.0;900000;600.0;1.05;270.0;[0, 0.5];1;0.5;0.6;1;1;0.5
Meles meles;Femelle;0;39430;39430;700.0;900000;600.0;0.75;270.0;[0, 0.5];1;0.5;0.6;1;1;0.5
Meles meles;Femelle;0;58440;58440;700.0;900000;600.0;0.75;270.0;[0, 0.5];1;0.5;0.6;1;1;0.5
Meles meles;Femelle;0;81110;81110;700.0;900000;600.0;0.75;270.0;[0, 0.5];1;0.5;0.6;1;1;0.5
Meles meles;Femelle;0;58340;58340;700.0;900000;600.0;0.75;270.0;[0, 0.5];1;0.5;0.6;1;1;0.5
Meles meles;Male;0;37000;37000;700.0;900000;600.0;1.05;270.0;[0, 0.5];1;0.5;0.6;1;1;0.5
